,bot,human
122,what other comedies do you enjoy?,I like things like Step Brothers.
123,do you like child actor type comedies or do you prefer the more adult type?,Child actor.
124,do you enjoy movies that have actors that are normally in superhero movies?,Sure.
125,I would recommend Bad Boys for Life.,[accept]
126,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
127,,
128,A3U6IA3JUSFZ2M,
129,hello!,hi
130,how are you today?,fine
131,i am also well,oh
132,what types of movies are you interested in?,action
133,"okay, are you looking for a movie trailer or an actual movie?",yes 
134,"okay, what are some of your favorite action movies?",mission is impossible
135,"mission impossible, you say?",yes
136,are you looking for a movie that has a similar plot to mission impossible: fallout or one that is much different?,quit
137,"TASK COMPLETE, Thanks for chatting with me!",
138,,
139,AJD65G9H2QUE9,
140,hello! i am here to help you looking for a movie trailer.,Complete Chat
141,so what did you like about the trailer?,Complete Chat
142,what did you like from the trailer?,Complete Chat
143,what did you like about the trailer?,Complete Chat
144,did you like what you saw in the trailer?,Complete Chat
145,what did you like about the trailer?,Complete Chat
146,what did you like about the trailer?,Complete Chat
147,do you like what you like about the trailer?,Complete Chat
148,do you like what you like about the trailer?,Complete Chat
149,are you ok with saying that?,Complete Chat
150,yes i am,Complete Chat
151,I would like to recommend Like a Boss.,Complete Chat
152,i can recommend a movie,Complete Chat
153,I recommend the movie Bad Boys for Life.,Complete Chat
154,yes i am fine with saying that,Complete Chat
155,I would recommend Onward.,Complete Chat
156,onward,Complete Chat
157,yes i am fine with saying that onward.,Complete Chat
158,what would you like to watch next?,Complete Chat
159,onward would be my choice,Complete Chat
160,"yes, that would be my choice.",Complete Chat
161,Task Finished!,
162,,
163,A1DH31FIHH5Y29,
164,"hello, how are you?",ine
165,great. do you like movies?,no
166,thats too bad. what types of movies are you interested in?,no 
167,do you like drama?,quit
168,"TASK COMPLETE, Thanks for chatting with me!",
169,,
170,A3KF6O09H04SP7,
171,"hi, i hope you are doing well today.","Im good, thanks.  Can you recommend a movie with Amy Adams in it?"
172,I would like to recommend Like a Boss.,That movie does not have Amy Adams in it.
173,"wow, you are right. its amy lovell. how embarrassing",Can you recommend a movie with Amy Adams in it?
174,I would like to recommend Bad Boys for Life.,[quit]
175,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
176,,
177,A1ROEDVMTO9Y3X,
178,hi there!,hello
179,I am recommending Like a Boss.,good choice
180,so do you have any movies in mind?,any other recommendations
181,Have you seen Bad Boys for Life?,no
182,have you seen wildcats?,yes
183,do you like it?,no
184,are you interested in movies with similar story lines or ones that have different ideas/scenes?,yes
185,you have good taste,thanks
186,bad boys for life is a classic,accept
187,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
188,,
189,A2J51BI7XS5ZYU,
190,"hi, how are you? what type of movies do you like?",Comedies.
191,like a boss,"Like a boss, what?"
192,like a boss like a boss,[quit]
193,"TASK COMPLETE, Thanks for chatting with me!",
194,,
195,A3TS15DY3N8JHE,
196,hello,hey how are you
197,i am fine.,do you like movies?
198,what type of movies do you like?,i like horror and sci-fi a lot
199,I would like to recommend Antlers.,thank you for that recommendation
200,you are welcome,accept
201,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/0rM5WnicOAE Thanks for chatting with me!",
202,,
203,A1G187YBG0DVMQ,
204,"hi, how are you today?",Good yourself?
205,good. thanks. what kind of movies do you enjoy?,Comedy
206,what was the last comedy movie you saw?,Spaceballs
207,bad boys for life was such a funny movie! do you like the type of humor in bad boys for life or a different type?,I like that type of humor. Was it good?
208,"if you like chris evans, you will probably like this movie.",accept
209,"TASK COMPLETE, Thanks for chatting with me!",
210,,
211,A2Y87M8V0N1M6P,
212,hi im here to help you,hi
213,what type of movies do you enjoy?,comedy
214,i really like comedy what comedian do you enjoy the most?,Robin williams
215,like a boss i think you will really like robin williams,yes
216,I would recommend Like a Boss.,quit
217,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
218,,
219,A1C9ZHH1PV21PG,
220,"hello, how are you?",Hello I am good and you?
221,im good,thats good to hear
222,i have a few movie recommendations for you.,lets hear them
223,mr.body  better living through chemistry ,what is the plot?
224,get out,huh?
225,get out,is it a scary movie?
226,not really,is it suspense?
227,do you know this movie?,no
228,i think it is pretty good,[accept]
229,"TASK COMPLETE, Thanks for chatting with me!",
230,,
231,A2JDYN6QM8M5UN,
232,"hello, i am here to help you looking for a movie trailer",Thanks! I want to see a good movie
233,what are your favorite types of movies?,Sci fi and action movies
234,i love sci-fi movies as well.,What would you reccomend me?
235,I am recommending Bloodshot.,accept
236,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/KB_uCjht0nA Thanks for chatting with me!",
237,,
238,A34CPKFZXBX1PO,
239,hi i am here to help you look for a movie trailer,Can I see a movie trailer for a good science fiction movie thats out now?
240,there are lots of them out right now. what are your favorite types of movies?,"I like many genres, but I asked you about science fiction."
241,my favorites are sci-fi and space movies.,Can you recommend a good sci-fi trailer for me to watch?
242,Have you seen Bloodshot?,I dont like superhero movies.  I like thought-provoking sci-fi movies.
243,the new mutants movie? i liked it a lot.,"Thats another superhero movie, but maybe theres not a real sci-fi movie out right now.  Thanks."
244,"OK, how about Avengers: Endgame?",[quit]
245,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/ee1172yeqyE Thanks for chatting with me!",
246,,
247,A2TJBRLYCPMTNH,
248,hello i am here to help you. what type of movies do you enjoy?,comedy
249,do you prefer adventure films,yes
250,I am recommending Like a Boss.,yes
251,have you seen love actually?,yes
252,Have you seen Bad Boys for Life?,no
253,its a movie for life,yes
254,Have you seen Onward?,no
255,is that the kidnapping/pickpocket movie?,no
256,have you ever seen wedding crashers?,yes
257,have you seen the new rocky horror picture show movie?,yes
258,I would like to recommend The Kings Man.,yes
259,what was your favorite part about it?,small thrill and comedy
260,so you like the thrill and comedy in the movie. do you like old rocky horror pictures?,yes
261,I am recommending Trolls World Tour.,yes
262,trolls world tour was a great movie. you like movies from the 70s or earlier?,yes
263,"oh great! i recommend ""trolls world tour"" you will like it",very like
264,thank you very much,ok thank u
265,i hope you enjoy,ok thank u
266,did you get to see the trailer?,yes
267,awesome,thank u
268,i am here to help you,no thank u
269,Task Finished!,
270,,
271,A107RJSS561Y7R,
272,hello,hello
273,how are you?,i am good 
274,what are some of your favorite movies?,conjuring
275,not a horror movie,ok maze runner
276,maze runner is a horror movie,no
277,ok maze runner is a movie with lots of cool action,yes
278,Have you seen Like a Boss?,accept
279,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
280,,
281,A3KF6O09H04SP7,
282,hello!,hi
283,what type of movies do you like?,action
284,i like action movies too,cool
285,what was the latest movie you watched in theaters?,i havent been in a long time
286,are there any action movies you would like to see now?,"none that i can think of,can you recommended one?"
287,"OK, how about Like a Boss?",no
288,"ok, i am not good in that movie.",ok
289,Would you prefer to watch Bad Boys for Life?,no thank you
290,ok i will ask you a different question.,ok
291,Would you prefer to watch Onward?,what is the synopsis? 
292,bad boys for life.,no
293,do you like older movies?,yes
294,I am recommending The Kings Man.,which actor is in it?
295,mihail saperstein,who else?
296,mihail saperstein,when did it come out?
297,it was release in 2002,[accept]
298,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/5aq0o2C6LVE Thanks for chatting with me!",
299,,
300,A2NA6X1SON3KFH,
301,"hi, im here to help you find a movie trailer",hello
302,what types of movies are you interested in?,I like mysteries
303,mysteries are great! did you see the movie coven?,"No, I did not see that."
304,what about underwater,"No, I did not see thst"
305,you should give it a try,I will
306,hope you like it,I think I might
307,great! enjoy,Thank you.  I will
308,"fantastic, i am so glad i could help",You were a big help
309,"im so glad, enjoy",Thank you.  I will
310,great,Thank
311,thank you.,I will try to find them now
312,I recommend the movie Like a Boss.,I think that might be a good one
313,do you have any other movie suggestions for me?,Not at this time
314,"OK, how about Bad Boys for Life?",I plan on seeing that
315,ok i hope you like it,I probably will
316,is that the only movie you plan to watch this month,"No, I might see Like a Boss"
317,ok what was the last movie you watched this month?,The Guard
318,have you heard about fast and furious 8,"Yes, but I am tired of those films"
319,have you watched inception?,I think I did
320,inception had an amazing plot,"Yes, I remember now"
321,are you interested in other movies?,"Yes, I like foreign films a lot"
322,Task Finished!,
323,,
324,A15VRRHQCLJHC8,
325,"hello, i understand that you like movies",comedy
326,I would recommend Like a Boss.,quit
327,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
328,,
329,AE2SPP0FXRQA1,
330,"hello, i am here to help you find a movie trailer","That is cool, thanks bro, what do you think of horror movies"
331,i love horror movies. what about you?,i love them. I was trying to find one to watch tonight
332,"awesome, abigail breslin awesome in antlers","antlers? I havent heard of it, should I watch it"
333,it is awesome but very long movie,I think i will try it out thanks
334,very welcome,accept
335,"TASK COMPLETE, Thanks for chatting with me!",
336,,
337,A2NUGRVI6IEGN7,
338,"hello, i understand you are a movie person. what kind of movie do you like?",es
339,what do you like?,yes
340,i like action and drama,quot
341,are you a action and drama person?,yes
342,whats your favorite action movie genre?,quit
343,"TASK COMPLETE, Thanks for chatting with me!",
344,,
345,A2VO8C41JJIQY9,
346,"hello, i am here to help you looking for a movie trailer.",Hello
347,what are your favorite types of movies?,"drama, action or suspense thriller "
348,bad boys for life is a great movie! i saw it in the theater!,is it a good movie
349,its action packed and suspenseful,damn! you made me curious about it
350,underwater,i havent watched it either ;(
351,what about thriller,yess! i live thriller movies. can you suggest me any ?
352,I would recommend Bad Boys for Life.,i should check it out!
353,bad boys for life i think it is a great movie,which actor is in it?
354,josh brolin,great
355,i hope you like the movie,eased?
356,no. this movie can be exciting,when was it released?
357,like 2016,nice! 
358,great. what did you like,what do you mean?
359,what are some of your favorite types of movies?,ok i like action movies too
360,I would recommend Avengers: Endgame.,already watched it
361,i have found a new movie. the last mission: red October,oh that sounds cool!
362,i know. it is a great movie. it is action packed and staring keanu reeves,Im a huge fan of him since his matrix movies! i will check it out
363,great. hope you enjoy it.,sure thanks
364,i like that keanu reeves is older in this movie compared to his other ones.,what is the imdb rating for this movie?
365,"under the rain, i believe is rated r",thats fine im an adult lol
366,im 18 myself. its an old movie that was released in 1997,umm ill stick with the last mission: red October
367,Task Finished!,
368,,
369,A1KDT32ADI2J8U,
370,"hello, how are you?",Am fine. What about you
371,im great! i just came in from the movies. what kind of movies do you like?,Comedy and thriller. 
372,which comedy and thriller movies have you watched recently?,Scoob. I loved it to watch very much.
373,the first like a boss was so good! did you see the second one?,No. Did you watched
374,i havent yet. i am going to wait until it comes out on dvd.,sounds good. 
375,bad boys for life was so good too! do you like animated movies?,accept
376,"TASK COMPLETE, Thanks for chatting with me!",
377,,
378,A2N9U74YIPDQ9F,
379,"hi, im here to help you find a movie!",great. what can you recommend?
380,bernie sanders is going to be in this movie.,oh wow. what is it about?
381,its about a guy who is on a mission to return from the dead and find a wife.,is it a comedy?
382,like a boss,what?
383,like a boss,is bernie sanders a main character?
384,i dont think he is,what is like a boss about?
385,some type of conundrum. a boss is just someone who is highly motivated,"um, ok. nevermind."
386,yeah it can be confusing,quit
387,"TASK COMPLETE, Thanks for chatting with me!",
388,,
389,A16OH8XXYY0AAS,
390,hello!,accept
391,"TASK COMPLETE, Thanks for chatting with me!",
392,,
393,A272X64FOZFYLB,
394,hello how are you today?,i am good
395,"great, what kind of movies do you like?",horror
396,"antlers was pretty cool, what was the scariest movie youve seen recently?",accept
397,"TASK COMPLETE, Thanks for chatting with me!",
398,,
399,A2VFEDAK5C1E1O,
400,hello,Hi
401,im going to recommend a movie for you. what kind of movies are you into?,Horror movies
402,do you prefer newer or older horror movies?,newer
403,I would like to recommend Antlers.,is it an interesting movies?
404,yes it is. you will enjoy this movie,I will like another recommendation
405,I am recommending Like a Boss.,I dont think that is an horror movie
406,its sci fi,I would like you to recommend an horror movie for me
407,I would like to recommend The Turning.,I would like to check the trailer
408,zombieland: double tap,accept
409,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/VqCpR19iBpc Thanks for chatting with me!",
410,,
411,A2V27A9GZA1NR2,
412,"hi, im here to help you with finding a movie trailer!",no
413,what genre of movies do you enjoy?,male
414,"oh ok, i understand. do you have a favorite actor?",vijay
415,vijay patel?,yes
416,what was the last movie you watched?,mater
417,have you seen john wick 3?,sry master
418,have you seen revenge of the sith?,nothing
419,why not. is he not your favorite actor?,quit
420,"TASK COMPLETE, Thanks for chatting with me!",
421,,
422,A1PAMVTKGCXSWQ,
423,hello how are you today?,Im good
424,thats great. what can i help you with today?,I wanted to know your movie recommendations
425,what are your favorite kinds of movies?,"action, and comedy"
426,have you ever seen mission impossible with tom cruise?,Yes I have actually
427,did you like it,"It was okay, I think that Top Gun was better"
428,"yes, it is the better movie.",True!
429,have you ever seen raiders of the lost ark?,No I havent
430,"you should, it is awesome.",Whats it about?
431,"its about raiders of the lost ark, it is all about naval battle, but it is awesome, you wont regret watching it.","Interesting, what time period is it set in"
432,early 20th century,Is it based on a true event?
433,"yes, but everything is true to the real story","Wow, I never knew that"
434,"yes, you didnt need to watch the trailer because it will show you everything you need to know about the movie","okay, I will then"
435,"its such an interesting movie, you wont be disappointed.",Can you show me the trailer?
436,it is available on youtube,Oh okay then
437,thank you,Np
438,what are your other movie preferences?,accept
439,"TASK COMPLETE, Thanks for chatting with me!",
440,,
441,A36W9YOEXLJLBT,
442,hi how are you today?,"Very good, yourself?"
443,great thank you. have you seen any good movies lately?,"Yes, I saw Star Wars: The Rise of Skywalker. It was great. I love scifi films."
444,same here. you seen the new mutants yet?,Not yet! Whats it about?
445,"about war. you will see some new and exciting things, like twists and death.","Oh, thats sounds fun!"
446,it sounds good. i might have to look for it. i cant get enough star wars: the rise of skywalker,"Yeah, its great. Tell me more about Mutants."
447,it has two mutants as main characters and the story revolves around them. there are a lot of twists and death.,I think well go see that!
448,terminator: dark fate,[accept]
449,"TASK COMPLETE, Thanks for chatting with me!",
450,,
451,A2JQI6KKCE0O9V,
452,hello!,hello
453,what types of movies do you enjoy?,horror movies.
454,horror movies are so good,"yeah ,so intereting."
455,the turning,quit
456,"TASK COMPLETE, Thanks for chatting with me!",
457,,
458,A16OH8XXYY0AAS,
459,"hello, how are you doing today?","fine, what about you"
460,im doing good. what kinds of movies do you like?,horor
461,i like horror as well,and action also
462,what was the last horror movie you watched?,mummy
463,who is your favorite actor?,harry potter
464,yeah harry potter is great,accept
465,"TASK COMPLETE, Thanks for chatting with me!",
466,,
467,A3S6OLEO6D950C,
468,"hi, im here to help you look for a movie trailer.",quit
469,"TASK COMPLETE, Thanks for chatting with me!",
470,have you already seen the movie?,quit
471,"TASK COMPLETE, Thanks for chatting with me!",
472,,
473,A30Q56QAGVOHRP,
474,hello,hi
475,what type of movies do you enjoy?,action movie
476,"thats awesome, action movies are a lot of fun! what is your favorite action movie?",avengers
477,"nice, what is it that makes you like this movie?",everything
478,does every avengers: infinity war movie live up to the hype? i really enjoy the marvel movies!,me also enjoy that
479,I am recommending Avengers: Endgame.,ok nice one
480,thanks i will recommend that movie to you,thankyou
481,ok and to think that i thought that you liked those movies,quit
482,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/ee1172yeqyE Thanks for chatting with me!",
483,,
484,A1WJ54G7U8B57Y,
485,hi! what kind of movies do you enjoy?,Horror movie
486,antlers what movie?,You mean you are recommending antlers?
487,I am recommending Antlers.,That is great. Who are the actors?
488,its brad pitt and morgan furley,cool. can you tell me about the synopsis of the movie?
489,morgan furley attempts to blend into a wildlife preserve and discovers they are hostile. she must choose between an animal and a peaceful existence.,"That is a difficult situation! The movie will be extremely superb, do you agree?"
490,definitely. the new mutants a very good movie.,accept
491,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/0rM5WnicOAE Thanks for chatting with me!",
492,,
493,A2D2JX8R0QU9G4,
494,hello.,hai
495,what kind of movies are you into?,spider an
496,what did you like about spider a?,action movie
497,that is a good genre,yea
498,Would you prefer to watch Avengers: Endgame?,yes i like this movie
499,same here,yeah
500,I am recommending Like a Boss.,thanks
501,have a great day,"thanks for chatting, have a beautiful day     "
502,any time,yes chat me anytime
503,"yeah thanks for chatting with me, enjoy the movie",yes
504,"thanks, i am sure i will",ok done
505,i am sure you will like the movie,i am sure like a movie very much
506,I would recommend Bad Boys for Life.,thanks for helping bad boys life
507,"yeah, the movie is very good.","yeah, the movie is very fantastic"
508,"thanks, i was unsure",why
509,how much do you like ken jeong?,i like ken jeong
510,do you like dave chapelle too?,"yeah, both are like"
511,I recommend the movie Onward.,ok
512,what is your favorite actor?,chris evans
513,ok that is a good movie,"yes , very good movie"
514,"ok there is a new movie about the emancipation of the woke, its called entropy",ok
515,Task Finished!,
516,,
517,A2YCMT5BPA0AG9,
518,"hi, how are you doing today?","Not bad, how are you?"
519,"im doing well, thanks for asking! what kinds of movies do you enjoy?",Action movies
520,oh thats a great genre of movie! i love action movies too. do you have a favorite actor?,Keanu Reeves
521,keanu reeves is great. and so is action movies.,"Yes, I like John Wick"
522,Have you seen Avengers: Endgame?,I have
523,have you ever watched dredd?,I have seen that also
524,I would like to recommend Like a Boss.,I have not seen that
525,have you seen legion?,Yes I have
526,I recommend the movie Bad Boys for Life.,I will check that out
527,have you ever heard of the movie joker?,I have
528,I would recommend Onward.,quit
529,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/Alv1znZA6Es Thanks for chatting with me!",
530,,
531,A2C2WXXKJOLCZ2,
532,hello!,hi
533,are you a big movie watcher?,yes i was
534,i think i have found a movie you would like to see,yes can i
535,"yes, i found this great movie called crawl you should definitely watch",that movie i already see soo horror
536,antlers with kumail nanjiani it was a good movie i think,yea i cannot see that movie
537,I recommend the movie Antlers.,ok
538,ok bye,bye thanku
539,good bye,bye
540,bye bye,finished chat
541,thank you,thanku
542,what can i help you with?,i want to finish my chat
543,ok bye,ok
544,bye bye,bye bye
545,bye bye,thank u
546,thank you.,ok
547,great,thank u
548,no problem,ok
549,thank u,ok
550,thank you,ok
551,thank you,task completed your code is 12354
552,what do you want ?,how can i finish my chat
553,Task Finished!,
554,,
555,A16ST6GDZTN4AD,
556,hello there!,hai
557,how are you today,fine thank you
558,how are you doing,well
559,im doing well,is there any thing to ask
560,what kind of movies do you like,family oriented
561,do you like romantic comedies?,yeah sure
562,okay do you know any movies that is coming out this year?,onward
563,okay i just have a suggestion of a movie,what is it ?
564,"OK, how about Like a Boss?",what is the movie about?
565,how about titanic?,who is in it?
566,how about louis ck?,i like him
567,hes very funny,is he coming out in any new movies?
568,"i dont know about new movies, but i know he has a new special on hulu",what is it called?
569,Would you prefer to watch Bad Boys for Life?,[accept]
570,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
571,,
572,A292LG3R356V5,
573,hello! i am here to help you looking for a movie trailer,hi
574,what types of movies do you like?,action movies
575,how old are you?,59
576,what type of movies do you enjoy?,comedy
577,the best comedy is always the pre-1950s one. what is your favorite comedian?,Steven Wright
578,have you seen bad boys for life,bad news
579,Have you seen Like a Boss?,yes like them
580,have you seen the kings man,always
581,I am recommending Bad Boys for Life.,yes
582,have you seen the movie we are robots,movies ilke 
583,I am recommending Onward.,robots
584,what is your favorite movie?, Late Night and Standup
585,Have you seen The Kings Man?,yes
586,have you seen old boy?,50
587,i have not,ok
588,"hey there, just a friendly reminder that your movie choice is on hold until you see old boy.",yes iam old
589,have you seen its always sunny in philadelphia?,no
590,get on that,ok
591,what do you like to watch?,good
592,what type of movies are you into,action
593,hmm... dont really watch action movies..,yes
594,Task Finished!,
595,,
596,A20N1NK5X5S88F,
597,"hello, how are you?","hai, i am fine  what about  you"
598,"fine, what kind of movies do you enjoy?",spider man series 
599,"those are good movies, especially the new one",avengers end game
600,you mean the avengers: end game,yes
601,"OK, how about Like a Boss?",like very much
602,"ok, which movie were you thinking?",captain america
603,would you like to watch this movie trailer?,yes
604,"ok, you should be able to find it in your local theatre.",yes i saw  a movie in local theatre
605,I would recommend Bad Boys for Life.,no
606,what is your movie preference,action movie my first preference
607,bad boys for life is an action movie,yes
608,I would recommend Onward.,thnaks
609,what was the movie name,captain america
610,how about avengers: endgame,yes this movie super and action movie
611,do you accept my recommendation for this movie,yes
612,great,welcome
613,thank you,bye
614,good bye, finish it
615,ok after this,nothing
616,great,thanks
617,what do you like in a movie,this movie is action movie
618,Task Finished!,
619,,
620,A28JMHEQZ8276G,
621,hello! how are you today?,yeah good
622,"great, i am here to help you find a movie!",comedy
623,"great, what was the last movie you watched?",I watch avengers endgame
624,"oh that movie is amazing, i watched it a few months ago.",your last movie
625,bad boys for life is a comedy,what kind of movie you like
626,bad boys for life is a comedy,do you like lust movie
627,yes i do,what kind/
628,how about a movie with bill murray.,do you have any sex
629,"OK, how about Like a Boss?",which boss
630,like a boss starring bill murray,i dont know
631,I would recommend Bad Boys for Life.,Any romantic movie suggestion
632,what type of romance movies do you like?,love and lust
633,I would recommend Onward.,i like sex movies
634,i also like sex movies,please summary sex
635,"he was an ugly loser, but he met this girl at a show. they had sex.",how to do sex
636,ok i will tell you how to do,how to press the boobs
637,how to press the boobs,tell
638,how to press the boobs,i dont know please explain
639,how to press the boobs,what kind of movie you like
640,got it,then tell
641,how to press the boobs,how you lick the boob
642,Task Finished!,
643,,
644,A1BZX5G4Q9AYTQ,
645,"hello, im kari. i hope you are well tonight!",Yes how are you
646,im doing well! what kind of movies do you enjoy?,Drama movie you what type of movie do you like
647,youve seen bloodshot,no
648,do you like mma at all?,yes i like it
649,what is your favorite mma fight?,all type
650,who is your favorite champ?,victor
651,johnny woods,good
652,what do you think of brendan schaub?,quit
653,"TASK COMPLETE, Thanks for chatting with me!",
654,,
655,ANBEBF6FLZFY3,
656,"hi! i just saw a movie called black swan, it was really good!",o i c
657,do you like romance movies?,defiantly
658,are you looking for a new movie trailer or something similar?,Yes
659,I am recommending Like a Boss.,ok
660,"hey, are you interested in seeing a movie trailer?",Yes i am very  interested 
661,I would like to recommend Bad Boys for Life.,ok
662,did you like it?,yes i like it
663,have you seen the joker?,yes i see
664,I would recommend Onward.,ok
665,onward,thanks
666,i can recommend more movie,definitely can
667,Have you seen The Kings Man?,yes
668,did you like it,very fond of
669,Have you seen Trolls World Tour?,No
670,it is soooo good i would definitely recommend it,thnk you
671,Have you seen Trolls World Tour?,no
672,have you seen troll 2,No
673,I would like to recommend Trolls World Tour.,Thank you
674,your welcome,ok
675,its very entertaining,raelly
676,ok its very entertaining,really
